,Project Tenant Voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Select a period to highlight at right.  A legend describing the charting follows.,,,,,, Period Highlight:,11,,,Plan Duration,,,,,,Actual Start,,,,,% Complete,,,,,Actual (beyond plan),,,,,,,,% Complete (beyond plan),,,,,,,
,ACTIVITY,,PLAN START,PLAN DURATION,ACTUAL START,ACTUAL DURATION,PERCENT COMPLETE,PERIODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,
,Week 1-2 Market Analysis & Planing,,1,2,1,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Market Research,1,2,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Define requirements,1,2,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Create Use Case Diagram,1,2,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 3 Design Phase,,3,1,3,2,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wireframe UI,3,1,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Design Review,3,2,3,3,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 4-5 Frontend Development,,4,3,2,5,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bootstrap Setup,4,3,2,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Build Tenant Review Page,4,1,2,2,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Build Landlord and Admin Pages,5,1,4,1,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Google Maps and API integratin,4,4,2,3,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 6-8 Backend Development,,6,5,4,6,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Set up Spring Project,6,1,4,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Database Design,6,1,5,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rest API Development,6,2,5,3,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ChatGPT API Integration,6,2,6,,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Google places API integration,6,2,5,1,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 9 Testing ,,9,1,9,2,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Frontend Testing,9,2,9,2,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Backend Tenting,9,2,9,2,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Google and Chatgpt APIs testing,9,2,8,2,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Testing,9,2,9,2,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 10 Documentation & Final Adjustments,,10,2,9,3,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technical Documentation,10,1,10,1,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Final Adjustments,5,2,5,5,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 11 Launch,,11,1,10,1,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Github Launch,11,1,11,1,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plan Future Enhancements,11,1,11,6,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
